step,loss,loss/mean,loss/std,lr,momentum,r2squared
23,0.09911369656523071,0.09911369656523071,0.0023877004030112906,0.0009833592021345938,0.9,0.8927202820777893
24,0.09948843810707331,0.09948843810707331,0.0021407000395221782,0.0009783022097502204,0.9,0.8922738432884216
25,0.09909797428796689,0.09909797428796689,0.002019228229522302,0.0009725919140804099,0.9,0.8927273154258728
26,0.09901526911805072,0.09901526911805072,0.0020120987244735557,0.0009662361147021779,0.9,0.892807126045227
27,0.09874496795237066,0.09874496795237066,0.002143318567658178,0.0009592434928729616,0.9,0.8930654525756836
28,0.09862518465767303,0.09862518465767303,0.002291567441436057,0.0009516235996730644,0.9,0.8932348489761353
29,0.09878057645012936,0.09878057645012936,0.0017983041699723389,0.0009433868429600309,0.9,0.8930703401565552
30,0.09827830890814464,0.09827830890814464,0.0017957677222454366,0.0009345444731527642,0.9,0.8936064839363098
31,0.09822486123691002,0.09822486123691002,0.0029712554426948646,0.0009251085678648072,0.9,0.8936833739280701
32,0.09795437908420959,0.09795437908420959,0.002080200623308005,0.0009150920154077753,0.9,0.893965482711792
33,0.09813462539265555,0.09813462539265555,0.002133819628384215,0.0009045084971874737,0.9,0.8937721252441406
34,0.09808931841204564,0.09808931841204564,0.001847005705635729,0.0008933724690167416,0.9,0.8937849998474121
35,0.09788202897955973,0.09788202897955973,0.0017096323956142495,0.0008816991413705516,0.9,0.8940344452857971
36,0.09786641038954258,0.09786641038954258,0.0018858826639604176,0.0008695044586103295,0.9,0.8940597176551819
37,0.09766326316942771,0.09766326316942771,0.0021986496191472847,0.0008568050772058762,0.9,0.8942871689796448
38,0.09762654298295578,0.09762654298295578,0.0018344381578353026,0.0008436183429846313,0.9,0.8943266868591309
39,0.09753167256712914,0.09753167256712914,0.0019142712777489264,0.0008299622674393614,0.9,0.8944056034088135
40,0.09720731371392807,0.09720731371392807,0.0021039738818530713,0.0008158555031266255,0.9,0.8947913646697998
41,0.09831336885690688,0.09831336885690688,0.0017896824279592263,0.0008013173181896282,0.9,0.8935638070106506
42,0.09817116676519315,0.09817116676519315,0.0020229982128382234,0.0007863675700402526,0.9,0.8937150239944458
43,0.09751096771409114,0.09751096771409114,0.0021686429532329497,0.0007710266782362247,0.9,0.8944332599639893
44,0.09707219867656629,0.09707219867656629,0.0022990530413088727,0.0007553155965904535,0.9,0.8949137926101685
45,0.09718954066435494,0.09718954066435494,0.0016847037936550697,0.0007392557845506433,0.9,0.8947837948799133
46,0.09704689929882686,0.09704689929882686,0.002186558223222757,0.0007228691778882692,0.9,0.894949197769165
47,0.09698615595698358,0.09698615595698358,0.0020980659919727146,0.0007061781587369518,0.9,0.8950196504592896
48,0.09661035674313703,0.09661035674313703,0.0017355458011987326,0.0006892055250211552,0.9,0.8954300284385681
49,0.09703101248790821,0.09703101248790821,0.0022734111001918886,0.0006719744593169641,0.9,0.8949437141418457
50,0.09657236747443675,0.09657236747443675,0.0018092430774783754,0.0006545084971874737,0.9,0.8954408168792725
51,0.09610602570076784,0.09610602570076784,0.0023839714362770452,0.0006368314950360416,0.9,0.8959789872169495
52,0.09636951796710491,0.09636951796710491,0.0017335584260778044,0.0006189675975213093,0.9,0.8956695199012756
53,0.09623057457307976,0.09623057457307976,0.0020680588660039793,0.0006009412045785051,0.9,0.8958210945129395
54,0.09642159845679998,0.09642159845679998,0.001959081191766527,0.000582776938092065,0.9,0.8956193923950195
